n,Header,Feature,synonyms,en,uri,super,comment,definition
AS.3.2.2,,Manage PHR End-of-Life Documents and Other Advance Directives,Manage PHR End-of-Life Documents and Other Advance Directives,AS.3.2.2 Manage PHR End-of-Life Documents and Other Advance Directives,EhrSfmManagePhrEndoflifeDocumentsAndOtherAdvanceDirectives,EhrSfmManagePersonalHealthRecordInteraction,Manage Personal Health Record electronic documents that provide the patients direction for end-of-life care and manage other types of Advance Directives.,"Advanced directives may need to be harmonized with external systems (e.g., Personal Health record system)."
,,,,,,,,
AS.4,Manage Communication,,Manage Communication,AS.4 Manage Communication,EhrSfmManageCommunication,EhrSfmAdministrationSupport,Support communication to enable the exchange of information internally and between healthcare and non-healthcare organizations.,"Communication among providers involved in the care process can range from real time communication (e.g., communication between a therapist and nurse), to asynchronous communication (e.g., consult reports between physicians). Some forms of inter-practitioner communication will be paper based and the EHR-S must be able to produce appropriate documents.The system should provide for both verbal and written communication. These exchanges would include but not be limited to consults, and referrals as well as possible exchanges within the office as part of the provision and administration of patient care (e.g., the communication of new information obtained within the office environment during the process of administration of a tetanus shot while the patient is in the exam room)."
AS.4.1,,Manage Registry Communication,Manage Registry Communication,AS.4.1 Manage Registry Communication,EhrSfmManageRegistryCommunication,EhrSfmManageCommunication,"Enable the exchange of structured demographic and clinical information with registries (e.g., local  disease-specific, notifiable, patient, provider, organization, and health services registries) for patient monitoring and subsequent epidemiological analysis.",The system can provide for automated or user-initiated exchange of individuals' health information to disease-specific registries or other notifiable registries (such as immunization registries). These exchanges should use standard data transfer protocols or messages. The systems should allow for updating and configuration of communication with new registries.
AS.4.2,,Support for Communications Within an Organization,Support for Communications Within an Organization,AS.4.2 Support for Communications Within an Organization,EhrSfmSupportForCommunicationsWithinAnOrganization,EhrSfmManageCommunication,Facilitate communications regarding patient data and status within a health care organization.,"There needs to be an ability to communicate patient data and status (e.g., patient history, patient physical examination), discrete clinical data (e.g., blood pressure, pulse, temperature, pulse oximetry, laboratory data, microbiology data, radiology data), and orders between clinical systems in the facility (e.g., ambulatory, inpatient and ED)."
AS.4.3,,Support for Communications Between Organizations,Support for Communications Between Organizations,AS.4.3 Support for Communications Between Organizations,EhrSfmSupportForCommunicationsBetweenOrganizations,EhrSfmManageCommunication,"Facilitate communications regarding patient orders, data and status between organizations.","There needs to be an ability to communicate patient data and status (e.g., patient history, patient physical examination), discrete clinical data (e.g., blood pressure, pulse, temperature, pulse oximetry, laboratory data, microbiology data, radiology data), and orders(e.g., medications, tests) between health care organizations, particularly during patient transfers.This information may include items such as outstanding patient requests, clinician care recommendations, and outstanding treatment and workflow tasks for the patient. Organizations can include both health care providing organizations (e.g., hospitals, nursing homes) and non-health care providing organizations (e.g., funeral homes, disaster operations, employers)."
AS.4.4,,Support for Provider- Employer Communicaion,Support for Provider- Employer Communicaion,AS.4.4 Support for Provider- Employer Communicaion,EhrSfmSupportForProviderEmployerCommunicaion,EhrSfmManageCommunication,"Provide support for capturing employment information, and/or special work related requirements (e.g., flyers, divers, firemen, transportation workers) to assist in medical disposition choices and notifications, and support communication to employers.","The ability to capture and maintain a patient's employment information, to include contact information and job title, which is expected to be helpful to the clinician when a patient's work environment may affect the assessment of alternative diagnoses, applicable to the individual, as well as the potential treatment(s) that have been tailored to the individual based on their occupation."
AS.5,Manage Clinical Workflow Tasking,,Manage Clinical Workflow Tasking,AS.5 Manage Clinical Workflow Tasking,EhrSfmManageClinicalWorkflowTasking,EhrSfmAdministrationSupport,"Create, schedule, update and manage tasks with appropriate timeliness.","Since an electronic health record will replace the paper chart or other paper-based system, tasks that were based on the paper artifact must be effectively managed in the electronic environment. Functions must exist in the EHR-S that support electronically any workflow that previously depended on the existence of a physical artifact (such as the paper chart, a phone message slip) in a paper based system. Tasks differ from other more generic communication among participants in the care process because they are a call to action and target completion of a specific workflow in the context of a patient's health record (including a specific component of the record). Tasks also require disposition (final resolution). The initiator may optionally require a response. For example, in a paper based system, physically placing charts in piles for review creates a physical queue of tasks related to those charts. This queue of tasks (for example, a set of patient phone calls to be returned) must be supported electronically so that the list (of patients to be called) is visible to the appropriate user or role for disposition. The state transition (e.g., created, performed and resolved) may be managed by the user explicitly or automatically based on rules. For example, if a user has a task to signoff on a test result, that task should automatically be marked complete by the EHR when the test result linked to the task is signed in the system. Patients will become more involved in the care process by receiving tasks related to their care."
AS.5.1,,"Clinical Task Creation, Assignment and Routing","Clinical Task Creation, Assignment and Routing","AS.5.1 Clinical Task Creation, Assignment and Routing",EhrSfmClinicalTaskCreationAssignmentAndRouting,EhrSfmManageClinicalWorkflowTasking,"Creation, assignment, delegation, and/or transmission of tasks to the appropriate parties.","A ""Task"" is a specific piece of work or duty that is assigned to a person or entity. A task often needs to be accomplished within a defined period of time or by a deadline. Tasks are often managed by an activity (or project) tracking mechanism (e.g., as part of an automated business rule process). Tasks are determined by the specific needs of patients and practitioners in a care setting. Task creation may be automated, where appropriate. An example of a system-triggered task is when laboratory results are received electronically; a task to review the result is automatically generated and assigned to a responsible party. Tasks are at all times assigned to at least one user or role for disposition. Whether the task is assignable and to whom the task can be assigned will be determined by the specific needs of practitioners in a care setting. Task-assignment lists help users prioritize and complete assigned tasks. For example, after receiving communication (e.g., a phone call or e-mail) from a patient, the triage nurse routes or assigns a task to return the patient's call to the physician who is on call physician. Another example is for a urinalysis, the nurse routes or assigns a task to clinical staff to collect a urine specimen, and for the results to be routed to the responsible physician and person ordering the test. Task creation and assignment may be automated, where appropriate. An example is when (International Normalized Ratio) INR results are received they should be automatically routed and assigned to the staff person in the clinic responsible for managing all of the patients that are having INR tests done. Task assignment ensures that all tasks are disposed of by the appropriate person or role and allows efficient interaction of entities in the care process. When a task is assigned to more than one individual or role, an indication is required to show whether the task must be completed by all individuals/roles or if only one completion suffice."
AS.5.2,,Clinical Task Assignment and Routing for Medication Management & Administration,Clinical Task Assignment and Routing for Medication Management & Administration,AS.5.2 Clinical Task Assignment and Routing for Medication Management & Administration,EhrSfmClinicalTaskAssignmentAndRoutingForMedicationManagementAdministration,EhrSfmManageClinicalWorkflowTasking,"Assignment, delegation, and/or transmission of tasks for Medication Orders and Prescription  Management.","There are tasks that are specific to prescription management. An example of a system-triggered task is when a medication defined as for continuous use runs out, a notification task should be initiated for evaluation of the need to renew or not. Quality care implies consideration of medication continuation or renewal in light of various patient and visit factors . This requires also that the relevant information is presented to the clinician in an effective manner. The decision by the clinician must then be captured in an efficient manner and actioned by the system through task assignment and communication. Presentation of tasks to be carried out needs to be in a manner that facilitates their execution and management and needs to correspond to user preferences. For example, the list could be ordered by priority or by pharmacy phone number for efficiency."
AS.5.3,,Clinical Task Linking,Clinical Task Linking,AS.5.3 Clinical Task Linking,EhrSfmClinicalTaskLinking,EhrSfmManageClinicalWorkflowTasking,"Linkage of tasks to EHR components, patients, and/or a relevant part of the electronic health  record.","Clinical tasks must include information or provide an electronic link to information that is required to complete the task. There is a need to create the appropriate links and, then, to have the system automatically present the information that was linked. For example, this may include a patient location in a facility, a patient’s, and/or family's contact information, or a link to new laboratory results in the patient’s EHR. Other example: the linkage of prescription task to the appropriate patient care plan to facilitate follow-up actions; a task to take weights links to the ‘Weights and Vitals’ screen to record the result; a task to complete a fall assessment links to the fall assessment form to be completed. An example of a well defined task is ""Dr. Jones must review Mr. Smith's blood work results."" Efficient workflow is facilitated by navigating to the appropriate area of the record to ensure that the appropriate test result for the correct patient is reviewed."
AS.5.4,,Clinical Task Status Tracking,Clinical Task Status Tracking,AS.5.4 Clinical Task Status Tracking,EhrSfmClinicalTaskStatusTracking,EhrSfmManageClinicalWorkflowTasking,Track tasks to facilitate monitoring for timely and appropriate completion of each task.,"In order to reduce the risk of errors during the care process due to missed tasks, the provider is able to view the status of each task (e.g., unassigned, on hold, started, performed, canceled, denied, and resolved) and current work lists, lists of unassigned tasks or undisposed tasks, or of other tasks where a risk of omission exists. The timeliness of certain tasks can be tracked, or reports generated, in accordance with relevant law and accreditation standards. For example, a provider is able to create a report that shows tests that have not yet been performed such as urine specimen obtained, blood work drawn, etc. Another example is that of an electronic prescribing system that would track when a refill request or prescription change is received, who it has been assigned to, the action performed, and when it was completed."
AS.6,Manage Resource Availability,,Manage Resource Availability,AS.6 Manage Resource Availability,EhrSfmManageResourceAvailability,EhrSfmAdministrationSupport,Manage the availability of healthcare resources to support the provision of care.,"Resources may include human resources (e.g., providers, support personnel) as well as physical resources (e.g., facilities, transportation, equipment, supplies). Managing resources includes managing the availability of necessary resources to support the provision of care including resource scheduling and managing information about the resources (e.g., availability, capabilities). The management of resources may also include supporting triage categorization, waiting rooms and patient acuity and severity determination."
AS.6.1,,Manage Facility Demographics,Manage Facility Demographics,AS.6.1 Manage Facility Demographics,EhrSfmManageFacilityDemographics,EhrSfmManageResourceAvailability,Maintain facility demographic information.,"Demographic information is necessary to uniquely define a healthcare facility (e.g., hospital, freestanding birthing center, clinic, doctor's office, hospice, or nursing home/long-term care facility, transportation/ambulance provider). Example of demographic information may include the facility name, physical location and unique facility identifier (e.g., U.S. National Provider Identifier)."
AS.6.2,,Manage Healthcare Resource Availability Information,Manage Healthcare Resource Availability Information,AS.6.2 Manage Healthcare Resource Availability Information,EhrSfmManageHealthcareResourceAvailabilityInformation,EhrSfmManageResourceAvailability,"Support the collection and distribution of local healthcare resource information, through interactions with other systems, applications, and modules, to enable planning and response to extraordinary events such as local or national emergencies.","In times of identified local or national emergencies and upon request from authorized bodies, provide current status of healthcare resources including, but not limited to, available beds, providers, support personnel, ancillary care areas and devices, operating theaters, medical supplies, vaccines, and pharmaceuticals. The intent is to enable the authorized body to distribute or re distribute either resources or patient load to maximize efficient healthcare delivery. In addition, these functions may also be used for internal assessment and planning purposes by facility administrators."
AS.6.3,,Manage Healthcare Resource Scheduling,Manage Healthcare Resource Scheduling,AS.6.3 Manage Healthcare Resource Scheduling,EhrSfmManageHealthcareResourceScheduling,EhrSfmManageResourceAvailability,"Support interactions with other systems, applications, and modules to provide the necessary data to a scheduling system for optimal efficiency in the scheduling of patient care, for either the patient or a resource/device.",The system may support user access to scheduling systems as required. Relevant clinical or demographic information required in the scheduling process could be linked to the task.
AS.6.4,,Support Triage Categorization,Support Triage Categorization,AS.6.4 Support Triage Categorization,EhrSfmSupportTriageCategorization,EhrSfmManageResourceAvailability,"Provide support for prioritizing patients based upon acuity, wait time, and practitioner load.","An EHR-S should support the management of patients waiting for care by displaying them and supporting decisions by the clinicians who are caring for them. The triage process not only collects data on arriving patients, but the categorization and prioritization of patients who are unable to be seen immediately. It is a dynamic process where patient priorities change over time. Unless a care team has unlimited resources, some patients will invariably need to wait."
AS.6.5,,Support Waiting Room Management,Support Waiting Room Management,AS.6.5 Support Waiting Room Management,EhrSfmSupportWaitingRoomManagement,EhrSfmManageResourceAvailability,Provide support to waiting room management,"An EHR-S should support the reporting, tracking and alerts needed to help managethose patients that need to wait and supporting prioritization decisions by the clinicians who are caring for them."
AS.6.6,,Support Patient Acuity and Severity Determination,Support Patient Acuity and Severity Determination,AS.6.6 Support Patient Acuity and Severity Determination,EhrSfmSupportPatientAcuityAndSeverityDetermination,EhrSfmManageResourceAvailability,Provide the data necessary to support and manage patient acuity and severity determination for  illness/risk-based adjustment of resources.,"Acuity data helps determine appropriate staffing – as modified by the nurses’ level of experience, the organization’s characteristics, and the quality of clinical interaction between and among physicians, nurses, and administrators. Research has been done on nurse staffing and patient outcomes; the impact of organizational characteristics on nurse staffing patterns, patient outcomes, and costs; and the impact of nurses’ experience on patient outcomes. The research indicates that nurse staffing has a definite and measurable impact on patient outcomes, medical errors, length of stay, nurse turnover, and patient mortality. Also, acuity and severity data is routinely the evidential basis most frequently cited by staff when recommending clinical staffing changes."
AS.7,Support Encounter/ Episode of Care Management,,Support Encounter/ Episode of Care Management,AS.7 Support Encounter/ Episode of Care Management,EhrSfmSupportEncounterEpisodeOfCareManagement,EhrSfmAdministrationSupport,Manage and document the health care needed and delivered during an encounter/episode of  care.,"Using data standards and technologies that support interoperability, encounter management promotes patient-centered/oriented care and enables real time, immediate point of service, point of care by facilitating efficient work flow and operations performance to ensure the integrity of (1) the health record, (2) public health, financial and administrative reporting, and (3) the healthcare delivery process.This support is necessary for care provision functionality that relies on providing user interaction and workflows. These interactions and workflows are configured according to clinical protocols and business rules. These protocols and rules are based on encounter specific values such as care setting, encounter type (inpatient, outpatient, home health, etc.), provider type, patient's EHR, health status, demographics, and the initial purpose of the encounter."
AS.7.1,,Manage Presentation Filters,Manage Presentation Filters,AS.7.1 Manage Presentation Filters,EhrSfmManagePresentationFilters,EhrSfmSupportEncounterEpisodeOfCareManagement,"Present specialized views based on the encounter-specific values, clinical protocols and  business rules.","The system user is presented with a presentation view and system interaction appropriate to the context with capture of encounter-specific values, clinical protocols and business rules. This ""user view"" may be configurable by the user or system technicians. As an example, a mobile home health care worker using wireless laptop at the patient's home would be presented with a home health care specific workflow synchronized to the current patient's care plan and tailored to support the interventions appropriate for this patient, including chronic disease management protocols."
AS.7.2,,Support Encounter Documentation,Support Encounter Documentation,AS.7.2 Support Encounter Documentation,EhrSfmSupportEncounterDocumentation,EhrSfmSupportEncounterEpisodeOfCareManagement,"Provide assistance in assembling data, supporting data collection and processing output from a specific  encounter.","Workflows, based on the encounter management settings, will assist (with triggers alerts and other means) in determining and supportingdata collection, import, export, extraction, linkages and transformation. As an example, a pediatrician is presented with diagnostic and procedure codes specific to pediatrics. Business rules enable automatic collection of data from the patient's health record and patient registry. As the provider enters data, workflow processes are triggered to populate transactions and documents. For example, data entry might populate an eligibility verification transaction or query the immunization registry."
AS.7.3,,Support Financial Reporting,Support Financial Reporting,AS.7.3 Support Financial Reporting,EhrSfmSupportFinancialReporting,EhrSfmSupportEncounterEpisodeOfCareManagement,Provide clinical data to support administrative and financial reporting.,"The system may be able to generate or support the creation of a bill based on health record data. Maximizing the extent to which administrative and financial data can be derived or developed from clinical data by the system, will lessen provider reporting burdens and the time it takes to complete administrative and financial processes such as claim reimbursement. This may be implemented by mapping of clinical terminologies in use to administrative and financial terminologies. Administrative and financial systems may be integrated or non-integrated."
AS.7.4,,Support Remote Healthcare Services,Support Remote Healthcare Services,AS.7.4 Support Remote Healthcare Services,EhrSfmSupportRemoteHealthcareServices,EhrSfmSupportEncounterEpisodeOfCareManagement,"Support remote health care services such as tele-health and remote device monitoring by integrating records and data collected by these means into the patient's record for care management, billing and public health reporting purposes.","Enables remote treatment of patients using monitoring devices, and two way communications between provider and patient or provider and provider. Promotes patient empowerment, self-determination and ability to maintain health status in the community. Promotes personal health, wellness and preventative care. For example, a diabetic pregnant mother can self-monitor her condition from her home and use web TV to report to her provider. The same TV-internet connectivity allows her to get dietary and other health promoting information to assist her with managing her high-risk pregnancy."
AS.7.5,,Manage Transitions of Care and Discharged Patients,Manage Transitions of Care and Discharged Patients,AS.7.5 Manage Transitions of Care and Discharged Patients,EhrSfmManageTransitionsOfCareAndDischargedPatients,EhrSfmSupportEncounterEpisodeOfCareManagement,"Provide a means to manage outstanding patient issues after the encounter, for transits of  care and discharge.","After the completion of an encounter, a number of tasks may remain for discharge planning, patient instructions and transitions of care. There may be outstanding laboratory tests (i.e. blood cultures) radiology interpretations, or other tasks such as arrangement of home health aids (VNA), transportation or calls to the patient's primary care provider during office hours to establish follow-up. There must be a way to track and document these tasks after the conclusion of the encounter."
AS.8,Manage Information Access for Supplemental Use,,Manage Information Access for Supplemental Use,AS.8 Manage Information Access for Supplemental Use,EhrSfmManageInformationAccessForSupplementalUse,EhrSfmAdministrationSupport,"Support extraction, transformation and linkage of information from structured data and unstructured text in the patient's health record for care management, financial, administrative, and public health purposes.","Information in the patient's health record is used for administrative purposes (e.g., care management, finance and public health services) that are supplemental to care provision and care provision support. Using data standards and technologies that support interoperability, information access functionalities serve primary and secondary record use and reporting. This health record information may include internal and external sources of patient data."
AS.8.1,,Support Rules-Driven Clinical Coding,Support Rules-Driven Clinical Coding,AS.8.1 Support Rules-Driven Clinical Coding,EhrSfmSupportRulesdrivenClinicalCoding,EhrSfmManageInformationAccessForSupplementalUse,"Make available all pertinent patient information needed to support coding of diagnoses, procedures and outcomes.","The user is assisted in coding information for clinical reporting reasons. For example, a professional coder may have to code the principal diagnosis in the current, applicable ICD as a basis for hospital funding. All diagnoses and procedures during the episode may be presented to the coder, as well as the applicable ICD hierarchy containing these codes."
AS.8.2,,Support Rules-Driven Financial & Administrative Coding,Support Rules-Driven Financial & Administrative Coding,AS.8.2 Support Rules-Driven Financial & Administrative Coding,EhrSfmSupportRulesdrivenFinancialAdministrativeCoding,EhrSfmManageInformationAccessForSupplementalUse,Provide financial and administrative coding assistance based on the structured data and unstructured text available in the encounter documentation.,"The user is assisted in coding information for billing or administrative reasons. For example, in the US Domain, the HIPAA 837 Professional claim requires the date of the last menstrual cycle for claims involving pregnancy. To support the generation of this transaction, the provider would need to be prompted to enter this date when the patient is first determined to be pregnant, then making this information available for the billing process."
AS.8.3,,Support Integration of Cost/Financial information into Patient Care,Support Integration of Cost/Financial information into Patient Care,AS.8.3 Support Integration of Cost/Financial information into Patient Care,EhrSfmSupportIntegrationOfCostfinancialInformationIntoPatientCare,EhrSfmManageInformationAccessForSupplementalUse,"Support interactions with other systems, applications, and modules to enable the use of cost management information required to guide users and workflows.","The provider is alerted or presented with the most cost-effective services, referrals, devices, etc., to recommend to the patient. This may be tailored to the patient's health insurance/plan coverage rules. Medications may be presented in order of cost, or the cost of specific interventions may be presented at the time of ordering."
AS.8.4,,Manage Healthcare Facility Performance Information,Manage Healthcare Facility Performance Information,AS.8.4 Manage Healthcare Facility Performance Information,EhrSfmManageHealthcareFacilityPerformanceInformation,EhrSfmManageInformationAccessForSupplementalUse,"Support the import or retrieval of data necessary to review available quality, performance, and cost measurements regarding healthcare facilities.","The ability to access information to help facilities with the gathering, managing and using data to assist in the assessment of quality, performance and cost measurements."
AS.8.5,,Support for Provider Training,Support for Provider Training,AS.8.5 Support for Provider Training,EhrSfmSupportForProviderTraining,EhrSfmManageInformationAccessForSupplementalUse,Provide the ability to clinician and staff training requirements and document proficiency.,"In order to deliver quality care, health care systems train their staff in the processes, workflows, and tools required to deliver quality patient care. This training is necessary when staff are initially hired, and also periodically as the evidence-based medical guidance or the tools available to the health care systems change. The system can have a role to track and document the training requirement, progress and proficiency. The system may control user access to system functionality based on training."
AS.9,Manage Administrative Transaction Processing,,Manage Administrative Transaction Processing,AS.9 Manage Administrative Transaction Processing,EhrSfmManageAdministrativeTransactionProcessing,EhrSfmAdministrationSupport,"Support the creation (including using external data sources, if necessary), electronic interchange, and processing of transactions listed below that may be necessary foradministrative management during an episode of care.","Support the creation (including using external data sources, if necessary), electronic interchange, and processing of transactions listed below that may be necessary for administrative management during an episode of care.The EHR system collects patient health-related information needed for purpose of administrative and financial activities including reimbursement.Captures the episode and encounter information to pass to administrative or financial processes (e.g., triggers transmissions of charge transactions as by-product of on-line interaction including order entry, order statusing, result entry, documentation entry, medication administration charting).Automatically retrieves information needed to verify coverage and medical necessity. As a byproduct of care delivery and documentation captures and presents all patient information needed to support coding. Ideally performs coding based on documentation.Clinically automated revenue cycle - examples of reduced denials and error rates in claims.Clinical information needed for billing is available on the date of service.Physician and clinical teams do not perform additional data entry / tasks exclusively to support administrative or financial processes."
AS.9.1,,Support Financial Plan Enrollment,Support Financial Plan Enrollment,AS.9.1 Support Financial Plan Enrollment,EhrSfmSupportFinancialPlanEnrollment,EhrSfmManageAdministrativeTransactionProcessing,"Support interactions with other systems, applications, and modules to facilitate enrollment of uninsured patients into subsidized and unsubsidized health plans, and enrollment of patients who are eligible on the basis of health, and/or financial status in social service and other programs, including clinical trials.","Expedites determination of health insurance coverage, thereby increasing patient access to care. The provider may be alerted that uninsured patients may be eligible for subsidized health insurance or other health programs because they meet eligibility criteria based on demographics, and/or health status. For example a provider is notified that the uninsured parents of a child enrolled in SCHIP may now be eligible for a new subsidized health insurance program; a provider of a pregnant patient who has recently immigrated is presented with information about eligibility for subsidy. Links may be provided to online enrollment forms. When enrollment is determined, the health coverage information needed for processing administrative and financial documentation, reports or transactions is captured."
AS.9.2,,Support Financial Eligibility Verifaction,Support Financial Eligibility Verifaction,AS.9.2 Support Financial Eligibility Verifaction,EhrSfmSupportFinancialEligibilityVerifaction,EhrSfmManageAdministrativeTransactionProcessing,"Support interactions with other systems, applications, and modules to enable eligibility verification for health insurance and special programs, including verification of benefits and pre-determination of coverage.","Retrieves information needed to support verification of coverage at the appropriate juncture in the encounter workflow. Improves patient access to covered care and reduces claim denials. When eligibility is verified, the system could prompt a provider to capture eligibility information needed for processing administrative and financial documentation, reports or transactions; updating or flagging any inconsistent data. In addition to health insurance eligibility, this function would support verification of registration in programs and registries, such as chronic care case management and immunization registries. A system would likely verify health insurance eligibility prior to the encounter, but would verify registration in case management or immunization registries during the encounter."
AS.9.3,,Support Service Authorization,Support Service Authorization,AS.9.3 Support Service Authorization,EhrSfmSupportServiceAuthorization,EhrSfmManageAdministrativeTransactionProcessing,"Support interactions with other systems, applications, and modules to enable the creation of requests, responses and appeals related to service authorization, including prior authorizations, referrals, and  pre-certification.",Retrieves information needed to support verification of medical necessity and prior authorization of services at the appropriate juncture in the encounter workflow. Improves timeliness of patient care and reduces claim denials.
AS.9.4,,Support Service Requests and Claims,Support Service Requests and Claims,AS.9.4 Support Service Requests and Claims,EhrSfmSupportServiceRequestsAndClaims,EhrSfmManageAdministrativeTransactionProcessing,"Support interactions with other systems, applications, and modules to support the creation of health care attachments for submitting additional clinical information in support of service requests and claims.","Retrieves structured and unstructured data, including but not limited to laboratory data, imaging data, device monitoring data, and text based data, based on rules or requests for additional clinical information, in support of service requests or claims, at the appropriate juncture in the encounter workflow."
AS.9.5,,Support Financial Claims & Encounter Reports,Support Financial Claims & Encounter Reports,AS.9.5 Support Financial Claims & Encounter Reports,EhrSfmSupportFinancialClaimsEncounterReports,EhrSfmManageAdministrativeTransactionProcessing,"Support interactions with other systems, applications, and modules to enable the creation of claims and encounter reports for reimbursement.","Retrieves information needed to support claims and encounter reporting. This reporting occurs at the appropriate juncture in the encounter workflow in a manual or automated fashion. For example this could occur at an initial, interim or final billing. The system may also present the information that is provided for audit and review."
,,,,,,,,
POP,Population Health Support,,Population Health Support,POP Population Health Support,EhrSfmPopulationHealthSupport,EhrSfmManageAdministrativeTransactionProcessing,,
POP.1,"Support for Health Maintenance, Preventative Care and Wellness",,"Support for Health Maintenance, Preventative Care and Wellness","POP.1 Support for Health Maintenance, Preventative Care and Wellness",EhrSfmSupportForHealthMaintenancePreventativeCareAndWellness,EhrSfmPopulationHealthSupport,"Evaluate patient information to provide alerts, notifications and reminders regarding health, preventative care and wellness.","The system assists in determining ongoing and pertinent communications from the provider to patient to promote health, preventative care and wellness."
POP.1.1,,Present Alerts for Preventative Services and Wellness,Present Alerts for Preventative Services and Wellness,POP.1.1 Present Alerts for Preventative Services and Wellness,EhrSfmPresentAlertsForPreventativeServicesAndWellness,EhrSfmSupportForHealthMaintenancePreventativeCareAndWellness,"Identify patient-specific suggestions/reminders, screening tests/exams, and other preventative services in support of routine preventative and wellness care.","At the time of an encounter, the provider or patient is presented with due or overdue activities based on protocols for preventative care and wellness. Examples include routine immunizations, adult and well child care, age and gender appropriate screening exams, such as PAP smears."
POP.1.2,,Present Notifications and Reminders for Preventative Services and Wellness,Present Notifications and Reminders for Preventative Services and Wellness,POP.1.2 Present Notifications and Reminders for Preventative Services and Wellness,EhrSfmPresentNotificationsAndRemindersForPreventativeServicesAndWellness,EhrSfmSupportForHealthMaintenancePreventativeCareAndWellness,"Evaluate and notify patient, and/or provider of those preventative services, tests, or behavioral actions that are due or overdue.","The system generates notifications to patients regarding activities that are due or overdue. Examples include but are not limited to time sensitive patient and provider notification of follow-up appointments, laboratory tests, immunizations or examinations. The notifications can be customized in terms of timing, repetitions and administration reports. For example, a PAP test reminder might be sent to the patient two months prior to the test being due, repeated at three month intervals, and then reported to the administrator or clinician when nine months overdue."
POP.2,Support Population-Based Epidemiological Investigation,,Support Population-Based Epidemiological Investigation,POP.2 Support Population-Based Epidemiological Investigation,EhrSfmSupportPopulationbasedEpidemiologicalInvestigation,EhrSfmPopulationHealthSupport,"Support for population-based internal and external epidemiological investigations of clinical health of  aggregate patient data for use in identifying health risks from the environment, and/or population in  accordance with jurisdictional law.","A care provider, public health expert, or organization may wish to analyze data from cohorts,(i.e., subpopulations defined by certain characteristics or conditions). For example, cohorts can be described in terms of demographics; education and social status; health status, diseases, or outcomes; industry and occupation; or injuries. Population health analysts, such as experts in public health departments, may compile individual, and/or population information reported or otherwise gathered from multiple EHRs within the jurisdictional area for surveillance and research. Populations of one or none also can be informative. By analyzing specified data for a cohort, public health experts and care providers can monitor disease prevalence and health-related trends; evaluate behavioral, socio economical, occupational, and other impacts on health; and identify potential outbreaks and associated risk factors. Examples include:-examining a cohort of patients with measles for a common (implied) exposure, such as attending the same school - following a cohort of diabetics with out-of-range markers, or analyze them from various perspectives, such as by occupation, blood sugar range, drugs that are being used and not being used. - examining a cohort of bakers for a higher-than-expected prevalence of asthma. - Upon suspicion of a flu outbreak, reviewing a cohort of patients who have presented in the Emergency Department in the last three days complaining of breathing difficulty. - Examining cohorts of smokers with lung disease, sand-blasters with breathing disorders, adults with asthma, etc. A broad range of information is used for population health surveillance and analyses, including (but not limited to) health teatus/disease/outcomes, completion/results of recommended health screens, current or previous medical treatment data, demographics, education, marital status, social factors, family history of diseases, personal history (e.g., alcohol and tobacco use, reading capability, hearing deficiency), and environmental factors (such as occupation and industry, shift-work, hobby). The information may or may not be coded; the text may be structured or unstructured. Person-level data is used to identify persons with specified characteristics such as exposures, symptoms, risk factors, injuries, genetic markers, diseases or health outcomes that may require further care. Person-level data also is required to evaluate groupings of injuries, diseases or adverse health outcomes. Issues of access to person-level data while securing patient privacy are relevant. Data also may be monitored and analyzed in “aggregate” (for example, by age range, geographic location, socio-economic level, or education level), depicting the quantity of records, and/or content within each aggregate. Aggregates may be used to report deidentified data to public health, for example, cases of influenza-like-illness by age range.Case and population information are subject to public health reporting. Care organizations may require population health reports, for example, to measure quality of care based on health improvements for populations under the care of their providers. Statistical analyses are a key component to analyzing population health data, such as epidemiological investigations to identify relationships between risks (such as exposures or behaviors) and health conditions. Individual clinicians or healthcare organizations may employ limited capabilities in EHR systems to analyze population health data. The EHR system also should be capable of interacting with, and leveraging, the capabilities of specialized external analytical systems.The investigator may hide or mask certain aspects of epidemiological investigation information, as necessary according to scope of practice, policy, and/or law. The investigator may desire to tag or remove patients from the cohort who have relocated or died."
